Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA,EMA,UpperBB,LowerBB,Daily Return,Cumulative Return,Covariance,Beta
2010-01-04,0.4244104623965044,0.4269326293301932,0.4152389860313166,0.4239518940448761,800204000,0.0,0.0,0.3863831400871277,0.38842141196351926,0.4484334707754292,0.3243328093988262,-0.010171004156171781,1.324499127581641,0.00013436647470667013,1.381338081938854
2010-01-05,0.4223468408826804,0.4347283489020123,0.4223468408826804,0.4301426112651825,728648000,0.0,0.0,0.39154209941625595,0.3923948595160586,0.4498345532383308,0.3332496455941811,0.014602404912598566,1.3438400001489716,0.00013445830996685267,1.3917788457866624
2010-01-06,0.4299132569316287,0.4338111279438708,0.4257860881344287,0.4328939914703369,649168000,0.0,0.0,0.39474065154790877,0.3962519197021804,0.4548007733708813,0.3346805297249362,0.0063964372119789115,1.3524357883328704,0.0001338153272379297,1.3910326734475973
2010-01-07,0.43060120055519174,0.4324355011659812,0.42120042700811694,0.4244104325771332,547792000,0.0,0.0,0.39840924739837646,0.3989336828331283,0.4561482863042364,0.3406702084925165,-0.019597312645502574,1.3259316813559443,0.00013329234617454863,1.3851545665573017
2010-01-08,0.42097113165574385,0.4283083341420199,0.41844899221759607,0.4253275990486145,478168000,0.0,0.0,0.4016880542039871,0.40144738913936506,0.45760283106664884,0.3457732773413254,0.002161036584119813,1.328797068227398,0.0001327094796620094,1.380450844976349
2010-01-11,0.4276204298846862,0.42945473034279064,0.41340462183424026,0.41936609148979187,556612000,0.0,0.0,0.40498978942632674,0.4031539322203581,0.4565074152785725,0.35347216357408096,-0.014016272567680788,1.3101722863319876,0.00013438902782572561,1.465205705433298
2010-01-12,0.4131753928325817,0.4147803956445931,0.3964374165555277,0.40515032410621643,627432000,0.0,0.0,0.40781002044677733,0.40334406478091606,0.4520209192116777,0.36359912168187697,-0.03389822799710429,1.2657597674544185,0.00014272417157200286,1.529168622137916
2010-01-13,0.4079017665785196,0.41202893596603873,0.392080955148555,0.4106532037258148,508868000,0.0,0.0,0.4103780329227448,0.4040401732518588,0.4482327445634606,0.372523321282029,0.013582315728706496,1.2829517162526785,0.00013982850042818155,1.5013723008683861
2010-01-14,0.4056088898482137,0.4085895974221637,0.3973545512336465,0.4042331576347351,608524000,0.0,0.0,0.4126479759812355,0.40405855271689467,0.4419723005820779,0.38332365138039304,-0.015633741640954657,1.2628943805829647,0.00013533574746573616,1.4666119427460176
2010-01-15,0.40125243696260016,0.40469174028515836,0.3870366280295038,0.392310231924057,818192000,0.0,0.0,0.41287726908922195,0.4029396650223387,0.44144293579464927,0.38431160238379464,-0.029495170016339056,1.225645096114991,0.0001418898917160134,1.5076894966449785
