Train_0,Train_1,Train_2,Train_3,Train_4,Train_5,Train_6,Train_7,Train_8,Train_9,Train_10,Train_11,Train_12,Train_13,Train_14,Train_15,Train_16,Train_17,Train_18,Target,Target_Date
0.003539791538564863,0.003639244018945552,0.003683445759693782,0.003547156899464204,0.0035618914514037596,0.0034661226090079585,0.0032377490231350783,0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,2010-02-02
0.003639244018945552,0.003683445759693782,0.003547156899464204,0.0035618914514037596,0.0034661226090079585,0.0032377490231350783,0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,2010-02-03
0.003683445759693782,0.003547156899464204,0.0035618914514037596,0.0034661226090079585,0.0032377490231350783,0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,2010-02-04
0.003547156899464204,0.0035618914514037596,0.0034661226090079585,0.0032377490231350783,0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,0.0025857771772395646,2010-02-05
0.0035618914514037596,0.0034661226090079585,0.0032377490231350783,0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,0.0025857771772395646,0.0027036492838475256,2010-02-08
0.0034661226090079585,0.0032377490231350783,0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,0.0025857771772395646,0.0027036492838475256,0.002692598369892859,2010-02-09
0.0032377490231350783,0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,0.0025857771772395646,0.0027036492838475256,0.002692598369892859,0.0026447129911597402,2010-02-10
0.0033261510683287097,0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,0.0025857771772395646,0.0027036492838475256,0.002692598369892859,0.0026447129911597402,0.002758901938550421,2010-02-11
0.003223013992427913,0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,0.0025857771772395646,0.0027036492838475256,0.002692598369892859,0.0026447129911597402,0.002758901938550421,0.0030351594668535926,2010-02-12
0.003031474871333485,0.0031493455416386185,0.003123561990814834,0.003009375437262198,0.0027920518078087667,0.0028951884049419536,0.002699965167095028,0.0028620366206131725,0.0026557643838820166,0.002397923130432852,0.002832569910572106,0.0028951884049419536,0.0029467574216599604,0.0025857771772395646,0.0027036492838475256,0.002692598369892859,0.0026447129911597402,0.002758901938550421,0.0030351594668535926,0.0031198807466679902,2010-02-16
