Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA,EMA,UpperBB,LowerBB,Daily_Return,Cumulative_Return,Window_Return,Volatility
2010-01-04,0.4244104325619462,0.42693259931833566,0.41523895684148093,0.4239518642425537,800204000,0.0,0.0,0.38638314604759216,0.3884214158511578,0.4484334865288368,0.3243328055663475,-0.010171142611420825,1.3244986645112873,0.33694866293987347,0.10556494215403132
2010-01-05,0.422346811620486,0.4347283187819682,0.422346811620486,0.4301425814628601,728648000,0.0,0.0,0.3915421038866043,0.3923948601951295,0.4498345617571692,0.33324964601603946,0.014602405939096341,1.3438395316762721,0.3155678861646336,0.1027016246763431
2010-01-06,0.42991331612585976,0.433811187674795,0.42578614676039495,0.4328940510749817,649168000,0.0,0.0,0.39474065899848937,0.39625192599321063,0.4548007917197611,0.3346805262772176,0.006396645509412657,1.3524355967819404,0.17339962840294043,0.10471079640667391
2010-01-07,0.4306011098440677,0.4324354100684405,0.4212003382773746,0.424410343170166,547792000,0.0,0.0,0.3984092459082603,0.3989336800100636,0.4561483011236211,0.34067019069289955,-0.01959765416907111,1.3259310316702666,0.20901330268418072,0.10083513656655518
2010-01-08,0.42097107266160655,0.42830827411966027,0.4184489335769069,0.4253275394439697,478168000,0.0,0.0,0.4016880512237549,0.4014473809085308,0.45760283528509416,0.34577326716241563,0.0021611072599048153,1.3287965108489423,0.18228170973109248,0.1014415725129446
2010-01-11,0.4276204602736045,0.42945476086206386,0.4134046512129098,0.41936612129211426,556612000,0.0,0.0,0.40498978495597837,0.40315392761172925,0.45650743375901304,0.3534721361529437,-0.014016064324564592,1.3101720134786266,0.18689158655703397,0.09864465926115117
2010-01-12,0.4131753928325817,0.4147803956445931,0.3964374165555277,0.40515032410621643,627432000,0.0,0.0,0.40781001895666125,0.4033440606112042,0.45202092890193546,0.36359910901138703,-0.03389829665328559,1.2657594138988957,0.161735869591783,0.09629259214505054
2010-01-13,0.4079017369758772,0.41202890606387543,0.3920809266940759,0.41065317392349243,508868000,0.0,0.0,0.4103780373930931,0.40404016664094594,0.4482327201363304,0.37252335464985575,0.013582242170028014,1.2829512647874632,0.14294850324315145,0.09721779685753883
2010-01-14,0.40560883004071563,0.4085895371751569,0.3973544926432601,0.40423309803009033,608524000,0.0,0.0,0.41264797896146777,0.4040585410589597,0.44197225688855274,0.3833237010343828,-0.01563381534851649,1.2628938416126303,0.12651754747319033,0.09816486813775124
2010-01-15,0.40125237599934455,0.404691678799361,0.3870365692260905,0.39231017231941223,818192000,0.0,0.0,0.4128772661089897,0.40293964879805044,0.4414429048842665,0.38431162733371294,-0.029495174365436472,1.2256445675492298,0.011827325293644275,0.11504386047729463
2010-01-19,0.38932944885472937,0.40216952394063976,0.38818301455538556,0.39964738488197327,545328000,0.0,0.0,0.4135651260614395,0.40262609985366216,0.43997582522000994,0.3871544269028691,0.018702580458676454,1.248567283687559,0.03565055436509712,0.1265553385407913
2010-01-20,0.39460310723352465,0.39964744072196723,0.38932950325306875,0.3980424106121063,719728000,0.0,0.0,0.41418420523405075,0.40218955802113304,0.43832364014657377,0.39004477032152773,-0.00401597590921543,1.243553067555235,0.032104851154850955,0.13614600465113447
2010-01-21,0.3978131335641223,0.40492103802931395,0.38726592577702873,0.3909345269203186,608632000,0.0,0.0,0.41376002579927446,0.40111765029724594,0.43925221277665855,0.38826783882189037,-0.017857101410016285,1.2213468143191644,-0.02123986960993407,0.1464275287239322
2010-01-22,0.3863487446410933,0.3934566487901486,0.37511369855584026,0.3774065673351288,1067916000,0.0,0.0,0.41213208734989165,0.39885945191990146,0.44236265984097606,0.38190151485880725,-0.03460415658795757,1.179083137908261,-0.07941834614529608,0.15748558297612214
2010-01-25,0.3835973156102143,0.3911637882070396,0.3808458784840467,0.3838266134262085,643676000,0.0,0.0,0.41053854376077653,0.39742775301574024,0.44323705766924104,0.377840029852312,0.017010954887223484,1.1991404679755042,-0.07666842575753519,0.16246274435359873
2010-01-26,0.381992267337123,0.3845144336796277,0.3714450610561115,0.3716743588447571,714636000,0.0,0.0,0.4083832412958145,0.39497504880897993,0.4453133053218288,0.3714531772698002,-0.03166079202527139,1.1611747310098453,-0.10392498886850798,0.16722052126903383
2010-01-27,0.37144507260171805,0.38313871352313184,0.3673179036098573,0.3817629814147949,812504000,0.0,0.0,0.40706483870744703,0.3937167566762004,0.4458679901179523,0.36826168729694175,0.027143714194854507,1.1926933260386636,-0.06460682874752499,0.16482706076105524
2010-01-28,0.3847437605798254,0.3861194928472304,0.3636493449230986,0.3689229488372803,687764000,0.0,0.0,0.4048522159457207,0.3913554416439223,0.447083539868206,0.3626208920232354,-0.03363351923209035,1.1525788521193565,-0.10710331447231236,0.16280687800203
